ISO,Rank2021,FR_Country,EN_country,ES_country,Score A,Sco Exa,Score 2020,Progression RANK,Rank 2020,Score 2020,Zone,AR_country,FA_country
ITA,41,Italie,Italy,Italia,"22,63","27,73","23,39",0,41,"23,69",UE Balkans,إيطاليا,ایتالیا
JAM,7,Jamaïque,Jamaica,Jamaica,"9,96",0,"9,96",-1,6,"10,51",Amériques,جامايكا,جامائیکا
JOR,129,Jordanie,Jordan,Jordania,"42,89","27,08","42,89",-1,128,"42,08",MENA,الأردن,اردن
JPN,67,Japon,Japan,Japón,"28,88",0,"28,88",-1,66,"28,86",Asie-Pacifique,اليابان,ژاپن
KAZ,155,Kazakhstan,Kazakhstan,Kazajistàn,"50,28","13,86","50,28",2,157,"54,11",EEAC,كازاخستان,قزاقستان
KEN,102,Kenya,Kenya,Kenia,"33,65","20,79","33,65",1,103,"33,72",Afrique,كينيا,کنیا
KGZ,79,Kirghizstan,Kyrgyzstan,Kirguistàn,"30,36","19,46","30,37",3,82,"30,19",EEAC,قرغيزستان,قرقیزستان
KHM,144,Cambodge,Cambodia,Camboya,"46,84","33,32","46,84",0,144,"45,46",Asie-Pacifique,كمبوديا,کامبوج
KOR,42,Corée du Sud,South Korea,Corea del Sur,"23,43",0,"23,43",0,42,"23,7",Asie-Pacifique,كوريا الجنوبية,کره جنوبی
KWT,105,Koweït,Kuwait,Kuwait,"34,36",0,"34,36",4,109,"34,3",MENA,الكويت,کویت
LAO,172,Laos,Lao People's Democratic Republic,Laos,"70,56","57,53","70,56",0,172,"64,28",Asie-Pacifique,لاوس,لائوس
LBN,107,Liban,Lebanon,Líbano,"32,2","47,1","34,93",-5,102,"33,19",MENA,لبنان,لبنان
LBR,98,Liberia,Liberia,Liberia,"33,36","27,73","33,36",-3,95,"32,25",Afrique,ليبيريا,لیبریا
LBY,165,Libye,Libya,Libia,"55,73","46,05","55,73",-1,164,"55,77",MENA,ليبيا,لیبی
LIE,23,Liechtenstein,Liechtenstein,Liechtenstein,"19,49",0,"19,49",1,24,"19,52",UE Balkans,ليختنشتاين,لیختن‌اشتاین
LKA,127,Sri Lanka,Sri Lanka,Sri Lanka,"45,64","29,44","42,2",0,127,"41,94",Asie-Pacifique,سري لانكا,سریلانکا
LSO,88,Lesotho,Lesotho,Lesoto,"31,54","10,99","31,61",-2,86,"30,45",Afrique,ليسوتو,لسو‌تو
LTU,28,Lituanie,Lithuania,Lituania,"20,15",0,"20,15",0,28,"21,19",UE Balkans,ليتوانيا,لیتوانی
LUX,20,Luxembourg,Luxembourg,Luxemburgo,"17,56",0,"17,56",-3,17,"15,46",UE Balkans,لوكسمبورغ,لوکزامبورگ
LVA,22,Lettonie,Latvia,Letonia,"19,26",0,"19,26",0,22,"18,56",UE Balkans,لاتفيا,لتوانی
MAR,136,Maroc,Morocco,Marruecos,"41,86","55,21","43,94",-3,133,"42,88",MENA,المغرب,مراکش
MDA,89,Moldavie,Moldova,Moldavia,"31,61","6,93","31,61",2,91,"31,16",EEAC,مولدوفا,مولداوی
MDG,57,Madagascar,Madagascar,Madagascar,"28,24",0,"28,24",-3,54,"27,68",Afrique,مدغشقر,ماداگاسکار
MDV,72,Maldives,Maldives,Maldivas,"29,13",0,"29,13",7,79,"29,93",Asie-Pacifique,المالديف,مالدیو
MEX,143,Mexique,Mexico,México,"41,84","67,25","46,71",0,143,"45,45",Amériques,المكسيك,مکزیک
MKD,90,Macédoine,Macedonia,Repœblica de Macedonia,"31,67",0,"31,67",2,92,"31,28",UE Balkans,مقدونيا,مقدونیه
MLI,99,Mali,Mali,Malí,"33,5","6,93","33,5",9,108,"34,12",Afrique,مالي,مالی
